                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.8022,                0.80864,                 1.1685,                0.95241,                0.86964,                0.94457,                0.73807,                0.78322,                0.59614,                  1.182,              0.0006634,              0.0006634,              0.0006634
                     36,                  0.757,                0.73118,                 1.1231,                0.78875,                 0.9082,                 0.9275,                0.71555,                0.81295,                0.75199,                  1.238,              0.0006535,              0.0006535,              0.0006535
                     37,                0.76201,                0.75022,                 1.1416,                0.92506,                0.87105,                0.94972,                0.73523,                0.78202,                0.66578,                 1.1995,              0.0006436,              0.0006436,              0.0006436
                     38,                0.76246,                  0.709,                 1.1386,                0.94377,                0.88953,                0.94396,                0.75513,                0.76271,                0.62783,                 1.1852,              0.0006337,              0.0006337,              0.0006337
                     39,                0.71632,                0.66819,                 1.1126,                0.91641,                0.86132,                0.93629,                0.74272,                0.78162,                0.63471,                 1.2202,              0.0006238,              0.0006238,              0.0006238
                     40,                0.71427,                0.69755,                 1.0995,                0.93734,                0.88019,                0.95337,                0.74477,                0.75343,                0.62377,                 1.1659,              0.0006139,              0.0006139,              0.0006139
                     41,                0.72406,                 0.6842,                 1.0952,                0.90277,                0.85678,                0.94228,                0.73819,                0.72243,                0.71945,                 1.1425,               0.000604,               0.000604,               0.000604
                     42,                0.68381,                 0.6355,                  1.074,                0.90262,                    0.9,                0.94333,                0.76071,                0.77325,                0.65606,                  1.171,              0.0005941,              0.0005941,              0.0005941
                     43,                0.72225,                0.69064,                 1.1305,                0.93184,                0.85935,                0.95963,                 0.7476,                 0.7631,                0.62725,                 1.2216,              0.0005842,              0.0005842,              0.0005842
                     44,                0.70083,                0.64818,                 1.1061,                0.91412,                0.88265,                0.95403,                0.77171,                0.75013,                0.59939,                 1.1891,              0.0005743,              0.0005743,              0.0005743
                     45,                0.73701,                0.70085,                  1.107,                0.91688,                0.92977,                0.95845,                0.78273,                 0.7041,                0.55179,                 1.1296,              0.0005644,              0.0005644,              0.0005644
                     46,                0.68964,                0.62976,                 1.0954,                0.90588,                0.86633,                  0.932,                0.75694,                0.70825,                0.63788,                 1.1068,              0.0005545,              0.0005545,              0.0005545
                     47,                0.68656,                0.65144,                 1.1218,                0.84205,                0.89617,                0.93938,                0.74378,                0.72535,                0.65318,                 1.1672,              0.0005446,              0.0005446,              0.0005446
                     48,                0.70812,                0.64749,                 1.1039,                0.88851,                0.91556,                0.94515,                0.76161,                 0.7505,                0.61911,                  1.185,              0.0005347,              0.0005347,              0.0005347
                     49,                0.64945,                 0.5765,                 1.0692,                0.88301,                0.87409,                0.94877,                0.76017,                0.78835,                0.61626,                 1.2157,              0.0005248,              0.0005248,              0.0005248
                     50,                0.69556,                0.61541,                 1.1007,                0.87655,                 0.8363,                0.93211,                0.75734,                0.73564,                0.65959,                 1.1505,              0.0005149,              0.0005149,              0.0005149
                     51,                0.65642,                0.60912,                 1.0627,                 0.9014,                0.84833,                0.94848,                0.77286,                0.69294,                0.62793,                 1.1295,               0.000505,               0.000505,               0.000505
                     52,                0.68366,                0.61313,                 1.0904,                0.91098,                 0.8857,                0.95249,                0.77314,                0.71167,                0.60845,                 1.1282,              0.0004951,              0.0004951,              0.0004951
                     53,                0.66042,                0.57809,                 1.0878,                0.94755,                0.87829,                0.96458,                0.78903,                0.70716,                0.60079,                 1.1281,              0.0004852,              0.0004852,              0.0004852
                     54,                0.68567,                0.60682,                 1.0848,                0.90287,                0.91104,                0.95031,                0.77622,                0.69356,                0.60839,                 1.1275,              0.0004753,              0.0004753,              0.0004753
                     55,                0.63729,                 0.6278,                 1.0599,                0.94831,                0.91412,                0.96578,                0.79024,                0.67325,                0.56699,                 1.0974,              0.0004654,              0.0004654,              0.0004654
                     56,                0.62459,                0.55008,                 1.0564,                0.90101,                0.89737,                0.94428,                0.78679,                0.66805,                0.58863,                 1.1028,              0.0004555,              0.0004555,              0.0004555
                     57,                0.64221,                0.60618,                 1.0779,                0.93189,                0.91666,                0.95566,                0.79508,                0.69587,                0.55844,                 1.1194,              0.0004456,              0.0004456,              0.0004456
                     58,                0.63129,                0.55652,                 1.0521,                0.92517,                0.88276,                0.95023,                0.79296,                0.68419,                0.58568,                  1.126,              0.0004357,              0.0004357,              0.0004357
                     59,                0.61928,                0.57437,                  1.051,                0.88143,                0.89792,                0.95773,                0.79575,                0.69435,                0.55385,                  1.117,              0.0004258,              0.0004258,              0.0004258
                     60,                0.63148,                0.54228,                 1.0689,                 0.9616,                0.92884,                0.96821,                 0.7916,                0.73219,                0.53405,                  1.162,              0.0004159,              0.0004159,              0.0004159
                     61,                0.62325,                0.55762,                 1.0564,                0.93364,                0.89607,                0.95951,                0.79181,                0.67309,                0.57591,                  1.092,               0.000406,               0.000406,               0.000406
                     62,                0.59859,                0.49377,                 1.0505,                0.94026,                0.89225,                0.95369,                0.77902,                  0.713,                 0.5798,                 1.1354,              0.0003961,              0.0003961,              0.0003961
                     63,                0.62017,                0.54461,                 1.0565,                0.88669,                0.94988,                0.95979,                0.77623,                0.68319,                0.53375,                 1.1268,              0.0003862,              0.0003862,              0.0003862
                     64,                0.58357,                0.50794,                 1.0466,                0.88845,                0.95091,                0.95783,                0.76043,                0.74111,                0.57514,                 1.1883,              0.0003763,              0.0003763,              0.0003763
                     65,                0.59285,                 0.5099,                 1.0385,                0.87606,                0.92664,                0.95146,                0.78421,                0.67734,                 0.5879,                 1.1246,              0.0003664,              0.0003664,              0.0003664
                     66,                0.59322,                0.53733,                 1.0454,                0.90285,                0.91748,                0.96508,                0.79978,                0.67021,                0.53551,                 1.1042,              0.0003565,              0.0003565,              0.0003565
                     67,                0.59449,                0.50599,                 1.0391,                0.96287,                0.90739,                0.97231,                0.80429,                0.68702,                0.48539,                 1.1072,              0.0003466,              0.0003466,              0.0003466
                     68,                0.59962,                0.50905,                 1.0418,                0.95736,                0.94673,                0.96938,                0.80148,                0.71396,                0.47637,                  1.122,              0.0003367,              0.0003367,              0.0003367
                     69,                0.60866,                0.52904,                 1.0532,                0.94759,                0.94497,                0.96916,                0.81041,                 0.6888,                0.48487,                 1.1256,              0.0003268,              0.0003268,              0.0003268
                     70,                0.58566,                0.46286,                 1.0281,                0.96151,                0.94761,                0.96942,                 0.8078,                0.68021,                0.46358,                  1.122,              0.0003169,              0.0003169,              0.0003169
                     71,                 0.5591,                0.49575,                 1.0327,                0.97227,                0.95644,                0.96676,                0.81248,                0.69879,                0.45992,                 1.1027,               0.000307,               0.000307,               0.000307
                     72,                 0.5282,                0.44207,                 1.0055,                0.96609,                0.95816,                 0.9661,                 0.8197,                0.65806,                0.44702,                 1.0944,              0.0002971,              0.0002971,              0.0002971
                     73,                0.58955,                0.50638,                 1.0404,                0.96024,                0.95845,                 0.9697,                0.80814,                0.68643,                0.47447,                 1.1026,              0.0002872,              0.0002872,              0.0002872
                     74,                 0.6015,                0.49214,                  1.067,                0.96309,                0.93338,                0.96035,                0.79739,                0.69241,                0.49789,                 1.1052,              0.0002773,              0.0002773,              0.0002773
                     75,                0.58439,                0.52674,                 1.0417,                0.94149,                0.93931,                0.96066,                0.78457,                0.68332,                0.50005,                 1.1167,              0.0002674,              0.0002674,              0.0002674
                     76,                0.57961,                0.48336,                 1.0407,                0.94379,                0.92652,                0.95599,                0.78717,                0.68872,                0.49869,                 1.1292,              0.0002575,              0.0002575,              0.0002575
                     77,                0.54858,                0.44352,                 1.0247,                0.96303,                0.91611,                0.96481,                0.79251,                0.68861,                 0.5054,                 1.1184,              0.0002476,              0.0002476,              0.0002476
                     78,                0.54166,                0.44598,                 1.0012,                0.94785,                0.94748,                0.96787,                0.79372,                0.69519,                0.47918,                 1.1296,              0.0002377,              0.0002377,              0.0002377
                     79,                0.54754,                0.44732,                 1.0205,                0.94938,                0.93008,                0.96683,                0.80436,                0.67412,                0.46905,                 1.1276,              0.0002278,              0.0002278,              0.0002278
                     80,                0.51601,                0.45562,                0.99267,                0.96352,                0.94832,                0.96463,                0.80798,                0.65883,                0.45643,                 1.1068,              0.0002179,              0.0002179,              0.0002179
                     81,                0.56937,                0.52005,                 1.0246,                0.94652,                0.94621,                0.96277,                 0.8021,                0.67045,                 0.4641,                 1.1218,               0.000208,               0.000208,               0.000208
                     82,                0.52838,                0.43493,                 1.0175,                0.92927,                0.93111,                0.96508,                0.81114,                0.67781,                0.48339,                 1.1429,              0.0001981,              0.0001981,              0.0001981
                     83,                 0.5353,                0.46725,                 1.0267,                0.92106,                 0.9503,                0.96506,                0.80895,                0.65734,                0.47271,                 1.1271,              0.0001882,              0.0001882,              0.0001882
                     84,                0.48838,                0.42785,                0.98776,                0.92845,                 0.9298,                0.96568,                0.80927,                0.65477,                0.47624,                 1.1184,              0.0001783,              0.0001783,              0.0001783
                     85,                0.50605,                0.42527,                0.99972,                0.93698,                0.93343,                0.96406,                0.80433,                0.65612,                0.47219,                 1.1295,              0.0001684,              0.0001684,              0.0001684
                     86,                0.51248,                0.42747,                 1.0057,                0.96055,                0.93768,                0.96779,                0.80303,                0.65701,                0.45636,                 1.1253,              0.0001585,              0.0001585,              0.0001585
                     87,                0.50499,                0.44368,                 1.0018,                0.95101,                0.93489,                 0.9725,                0.81226,                0.64804,                0.46415,                 1.1189,              0.0001486,              0.0001486,              0.0001486
