                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93963,                 3.5272,                 1.3042,                0.00529,                0.99074,                0.17427,                0.13462,                0.60444,                 4.0087,                 1.0704,                0.00023,                0.00023,                0.00023
                      2,                0.89565,                 2.8601,                 1.2735,                 0.0062,                0.99074,                0.29432,                0.23195,                0.66394,                 3.7314,                 1.1049,             0.00037694,             0.00037694,             0.00037694
                      3,                0.93667,                 2.5617,                 1.2971,                0.37016,                0.29619,                0.43558,                 0.3267,                0.89509,                 3.3173,                 1.2368,             0.00042884,             0.00042884,             0.00042884
                      4,                0.88707,                 2.2163,                 1.2384,                0.51728,                0.54592,                0.61517,                0.46975,                0.83426,                 2.7627,                 1.2131,              0.0003857,              0.0003857,              0.0003857
