                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.68909,                0.83358,                 1.0998,                0.92778,                0.88685,                0.96247,                0.80603,                0.65082,                  0.772,                 1.0705,              0.0003268,              0.0003268,              0.0003268
                     36,                0.67142,                0.82632,                  1.089,                 0.8941,                0.93693,                 0.9512,                0.78861,                0.66975,                0.77172,                 1.1106,               0.000307,               0.000307,               0.000307
                     37,                0.68092,                0.82519,                 1.0864,                0.90453,                0.94843,                0.95234,                0.79045,                0.68072,                0.73729,                 1.1058,              0.0002872,              0.0002872,              0.0002872
                     38,                0.70913,                0.82444,                 1.1049,                0.91779,                 0.9063,                0.94355,                0.78982,                0.65542,                0.73222,                  1.079,              0.0002674,              0.0002674,              0.0002674
                     39,                0.67407,                0.77435,                 1.0884,                0.92574,                0.90287,                0.95117,                0.79296,                0.67417,                0.76433,                 1.0666,              0.0002476,              0.0002476,              0.0002476
                     40,                 0.6463,                0.76279,                 1.0569,                  0.924,                0.93085,                0.96255,                0.79739,                0.65929,                0.72204,                 1.0546,              0.0002278,              0.0002278,              0.0002278
                     41,                0.48421,                0.67442,                0.97007,                0.96513,                0.92699,                0.96656,                0.79664,                0.70361,                0.85019,                 1.0888,               0.000208,               0.000208,               0.000208
                     42,                0.46317,                 0.6026,                0.95684,                0.95485,                0.94816,                0.96432,                0.81001,                0.67056,                0.74061,                 1.0999,              0.0001882,              0.0001882,              0.0001882
                     43,                0.44793,                0.56182,                0.93567,                0.95566,                0.93549,                0.96096,                0.79842,                0.64971,                0.77132,                  1.063,              0.0001684,              0.0001684,              0.0001684
                     44,                0.45296,                0.54964,                0.92271,                0.93876,                0.89755,                0.96124,                 0.8038,                0.64023,                0.72181,                 1.0677,              0.0001486,              0.0001486,              0.0001486
                     45,                 0.4387,                0.53437,                0.93181,                 0.9414,                0.91671,                0.96407,                0.79461,                0.65927,                0.70854,                 1.0749,              0.0001288,              0.0001288,              0.0001288
                     46,                0.42086,                0.53888,                0.91322,                0.94778,                0.93218,                0.96794,                0.80909,                0.65917,                0.68495,                 1.0983,               0.000109,               0.000109,               0.000109
                     47,                0.42966,                0.50793,                0.92254,                0.94765,                 0.9332,                0.96874,                0.81311,                0.66483,                0.67763,                 1.1021,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                0.41919,                0.49232,                0.91033,                0.95182,                0.92793,                0.96746,                0.81477,                0.65332,                0.67985,                 1.0904,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                0.40635,                0.48847,                0.91193,                0.93397,                0.92919,                0.96436,                0.80442,                0.65079,                 0.6664,                 1.0916,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                  0.403,                0.48855,                0.90576,                0.92987,                0.92982,                0.96491,                0.80575,                0.64882,                0.66988,                  1.087,               2.98e-05,               2.98e-05,               2.98e-05
