                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94203,                  3.534,                 1.3045,                0.00465,                0.98032,                0.17224,                0.13766,                0.65232,                 4.0355,                 1.1005,                0.00023,                0.00023,                0.00023
                      2,                0.89861,                 2.8962,                 1.2825,                0.47501,                0.10383,                0.27294,                0.21456,                0.74181,                 3.6482,                 1.1601,             0.00037694,             0.00037694,             0.00037694
                      3,                 0.9156,                 2.5596,                 1.2785,                0.42986,                0.49759,                0.49833,                0.38421,                0.83245,                 3.0576,                 1.2423,             0.00042884,             0.00042884,             0.00042884
                      4,                0.86015,                 2.2133,                 1.2395,                0.55836,                0.67568,                0.67376,                0.51923,                0.79198,                 2.7268,                 1.2216,              0.0003857,              0.0003857,              0.0003857
                      5,                0.85711,                  2.073,                 1.2008,                0.68741,                0.64874,                0.72842,                 0.5832,                0.74277,                 2.3597,                 1.1486,               0.000208,               0.000208,               0.000208
