                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95408,                 3.5224,                 1.3157,                0.00539,                0.98094,                0.19503,                0.15782,                 0.6349,                  4.031,                 1.0877,                0.00023,                0.00023,                0.00023
                      2,                0.90861,                 2.8922,                  1.294,                0.54952,                0.05727,                0.28263,                0.22306,                0.74695,                 3.6498,                 1.1456,             0.00037694,             0.00037694,             0.00037694
                      3,                0.94549,                  2.601,                 1.2951,                0.35818,                0.48318,                0.36074,                0.28448,                 0.8081,                  3.153,                  1.215,             0.00042884,             0.00042884,             0.00042884
                      4,                0.90484,                  2.301,                 1.2524,                0.48369,                0.52844,                0.57613,                0.44043,                0.83894,                 2.6785,                  1.243,              0.0003857,              0.0003857,              0.0003857
                      5,                0.88774,                 2.1637,                 1.2111,                0.55362,                0.72508,                0.67618,                0.53275,                0.75563,                 2.3917,                 1.1875,               0.000208,               0.000208,               0.000208
